"Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked","Anrede","Side","Deck"
"Yes","3","male",3.5,1,1,15.2458,"Cherbourg","Master",NA,NA
"Yes","2","female",29,0,0,10.5,"Southampton","Mrs","Steuerbord","F"
"No","3","male",19,0,0,8.1583,"Southampton","Mr",NA,NA
"Yes","3","female",17,4,2,7.925,"Southampton","Miss",NA,NA
"No","3","male",26,2,0,8.6625,"Southampton","Mr",NA,NA
"No","2","male",32,0,0,10.5,"Southampton","Mr",NA,NA
"No","3","female",16,5,2,46.9,"Southampton","Miss",NA,NA
"No","2","male",21,0,0,73.5,"Southampton","Mr",NA,NA
"No","3","male",26,1,0,14.4542,"Cherbourg","Mr",NA,NA
"Yes","3","male",32,0,0,56.4958,"Southampton","Mr",NA,NA
"No","3","male",25,0,0,7.65,"Southampton","Mr","Steuerbord","F"
"No","3","male",30,0,0,7.8958,"Southampton","Mr",NA,NA
"No","3","male",30,0,0,8.05,"Southampton","Mr",NA,NA
"Yes","2","male",0.83,0,2,29,"Southampton","Master",NA,NA
"Yes","3","female",30,0,0,12.475,"Southampton","Miss",NA,NA
"No","3","male",22,0,0,9,"Southampton","Mr",NA,NA
"Yes","3","male",29,0,0,9.5,"Southampton","Mr",NA,NA
"Yes","3","female",21,0,0,7.7875,"Queenstown","Miss",NA,NA
"No","1","male",28,0,0,47.1,"Southampton","Mr",NA,NA
"Yes","2","female",17,0,0,10.5,"Southampton","Miss",NA,NA
"Yes","3","female",33,3,0,15.85,"Southampton","Mrs",NA,NA
"No","3","male",16,1,3,34.375,"Southampton","Mr",NA,NA
"No","3","male",30,0,0,8.05,"Southampton","Mr",NA,NA
"Yes","1","female",23,3,2,263,"Southampton","Miss","Steuerbord","C"
"No","3","male",24,0,0,8.05,"Southampton","Mr",NA,NA
"No","3","male",29,0,0,8.05,"Southampton","Mr",NA,NA
"No","3","male",20,0,0,7.8542,"Southampton","Mr",NA,NA
"No","1","male",46,1,0,61.175,"Southampton","Mr","Steuerbord","E"
"No","3","male",26,1,2,20.575,"Southampton","Mr",NA,NA
"No","3","male",59,0,0,7.25,"Southampton","Mr",NA,NA
"No","3","male",30,0,0,8.05,"Southampton","Mr",NA,NA
"No","1","male",71,0,0,34.6542,"Cherbourg","Mr","Steuerbord","A"
"Yes","1","male",23,0,1,63.3583,"Cherbourg","Mr","Backbord","D"
"Yes","2","female",34,0,1,23,"Southampton","Mrs",NA,NA
"No","2","male",34,1,0,26,"Southampton","Mr",NA,NA
"No","3","female",28,0,0,7.8958,"Southampton","Miss",NA,NA
"No","3","male",30,0,0,7.8958,"Southampton","Mr",NA,NA
"No","1","male",21,0,1,77.2875,"Southampton","Mr","Backbord","D"
"No","3","male",33,0,0,8.6542,"Southampton","Mr",NA,NA
"No","3","male",37,2,0,7.925,"Southampton","Mr",NA,NA
"No","3","male",28,0,0,7.8958,"Southampton","Mr",NA,NA
"Yes","3","female",21,0,0,7.65,"Southampton","Miss",NA,NA
"Yes","3","male",30,0,0,7.775,"Southampton","Mr",NA,NA
"No","3","male",38,0,0,7.8958,"Southampton","Mr",NA,NA
"Yes","3","female",21,1,0,24.15,"Queenstown","Miss",NA,NA
"No","1","male",47,0,0,52,"Southampton","Mr","Backbord","C"
"No","3","female",14.5,1,0,14.4542,"Cherbourg","Miss",NA,NA
"No","3","male",22,0,0,8.05,"Southampton","Mr",NA,NA
"No","3","female",20,1,0,9.825,"Southampton","Miss",NA,NA
"No","3","female",17,0,0,14.4583,"Cherbourg","Miss",NA,NA
"No","3","male",21,0,0,7.925,"Southampton","Mr",NA,NA
"No","3","male",70.5,0,0,7.75,"Queenstown","Mr",NA,NA
"No","2","male",29,1,0,21,"Southampton","Mr",NA,NA
"No","1","male",24,0,1,247.5208,"Cherbourg","Mr","Backbord","B"
"No","3","female",2,4,2,31.275,"Southampton","Miss",NA,NA
"No","2","male",21,2,0,73.5,"Southampton","Mr",NA,NA
"No","3","male",30,0,0,8.05,"Southampton","Mr",NA,NA
"No","2","male",32.5,1,0,30.0708,"Cherbourg","Mr",NA,NA
"Yes","2","female",32.5,0,0,13,"Southampton","Miss","Steuerbord","E"
"No","1","male",54,0,1,77.2875,"Southampton","Mr","Backbord","D"
"Yes","3","male",12,1,0,11.2417,"Cherbourg","Master",NA,NA
"No","3","male",30,0,0,7.75,"Queenstown","Mr",NA,NA
"Yes","3","male",24,0,0,7.1417,"Southampton","Mr",NA,NA
"Yes","3","female",21,1,1,22.3583,"Cherbourg","Miss","Steuerbord","F"
"No","3","male",45,0,0,6.975,"Southampton","Mr",NA,NA
"No","3","male",33,0,0,7.8958,"Cherbourg","Mr",NA,NA
"No","3","male",20,0,0,7.05,"Southampton","Mr",NA,NA
"No","3","female",47,1,0,14.5,"Southampton","Mrs",NA,NA
"Yes","2","female",29,1,0,26,"Southampton","Mrs",NA,NA
"No","2","male",25,0,0,13,"Southampton","Mr",NA,NA
"No","2","male",23,0,0,15.0458,"Cherbourg","Mr",NA,NA
"Yes","1","female",19,0,2,26.2833,"Southampton","Miss","Steuerbord","D"
"No","1","male",37,1,0,53.1,"Southampton","Mr","Steuerbord","C"
"No","3","male",16,0,0,9.2167,"Southampton","Mr",NA,NA
"No","1","male",24,0,0,79.2,"Cherbourg","Mr","Backbord","B"
"No","3","female",35,0,2,15.2458,"Cherbourg","Mrs",NA,NA
"Yes","3","female",22,0,0,7.75,"Southampton","Miss",NA,NA
"Yes","3","female",24,1,0,15.85,"Southampton","Mrs",NA,NA
"No","3","male",19,0,0,6.75,"Queenstown","Mr",NA,NA
"No","2","male",18,0,0,11.5,"Southampton","Mr",NA,NA
"No","2","male",19,1,1,36.75,"Southampton","Mr",NA,NA
"Yes","3","male",27,0,0,7.7958,"Southampton","Mr",NA,NA
"No","3","female",9,2,2,34.375,"Southampton","Miss",NA,NA
"No","2","male",36.5,0,2,26,"Southampton","Mr","Backbord","F"
"No","2","male",42,0,0,13,"Southampton","Rev",NA,NA
"No","2","male",51,0,0,12.525,"Southampton","Rev",NA,NA
"Yes","1","female",22,1,0,66.6,"Southampton","Mrs","Backbord","C"
"No","3","male",55.5,0,0,8.05,"Southampton","Mr",NA,NA
"No","3","male",40.5,0,2,14.5,"Southampton","Mr",NA,NA
"No","3","male",30,0,0,7.3125,"Southampton","Mr",NA,NA
"No","1","male",51,0,1,61.3792,"Cherbourg","Mr",NA,NA
"Yes","3","female",16,0,0,7.7333,"Queenstown","Miss",NA,NA
"No","3","male",30,0,0,8.05,"Southampton","Mr",NA,NA
"No","3","male",30,0,0,8.6625,"Southampton","Mr",NA,NA
"No","3","male",3.5,8,2,69.55,"Southampton","Master",NA,NA
"No","3","male",44,0,1,16.1,"Southampton","Mr",NA,NA
"Yes","2","female",40,0,0,15.75,"Southampton","Mrs",NA,NA
"No","3","male",26,0,0,7.775,"Southampton","Mr",NA,NA
"No","3","male",17,0,0,8.6625,"Southampton","Mr",NA,NA
"No","3","male",1,4,1,39.6875,"Southampton","Master",NA,NA
"Yes","3","male",9,0,2,20.525,"Southampton","Master",NA,NA
"Yes","1","female",35,0,1,55,"Southampton","Mrs","Steuerbord","E"
"No","3","female",45,1,4,27.9,"Southampton","Mrs",NA,NA
"No","1","male",30,0,0,25.925,"Southampton","Mr",NA,NA
"No","3","male",28,0,0,56.4958,"Southampton","Mr",NA,NA
"No","1","male",61,0,0,33.5,"Southampton","Mr","Steuerbord","B"
"No","3","male",4,4,1,29.125,"Queenstown","Master",NA,NA
"Yes","3","female",1,1,1,11.1333,"Southampton","Miss",NA,NA
"No","3","male",21,0,0,7.925,"Southampton","Mr",NA,NA
"No","1","male",56,0,0,30.6958,"Cherbourg","Mr","Steuerbord","A"
"No","3","male",18,1,1,7.8542,"Southampton","Mr",NA,NA
"No","3","male",3.5,3,1,25.4667,"Southampton","Master",NA,NA
"No","1","female",50,0,0,28.7125,"Cherbourg","Miss","Steuerbord","C"
"No","2","male",30,0,0,13,"Southampton","Mr",NA,NA
"No","3","male",36,0,0,0,"Southampton","Mr",NA,NA
"No","3","female",21,8,2,69.55,"Southampton","Miss",NA,NA
"No","2","male",30,0,0,15.05,"Cherbourg","Mr",NA,NA
"No","3","male",9,4,2,31.3875,"Southampton","Master",NA,NA
"Yes","2","male",1,2,1,39,"Southampton","Master","Backbord","F"
"Yes","3","female",4,0,2,22.025,"Southampton","Miss",NA,NA
"No","1","male",30,0,0,50,"Southampton","Mr","Backbord","A"
"Yes","3","female",35,1,0,15.5,"Queenstown","Mrs",NA,NA
"Yes","1","male",45,0,0,26.55,"Southampton","Mr",NA,NA
"No","3","male",40,1,1,15.5,"Queenstown","Mr",NA,NA
"No","3","male",36,0,0,7.8958,"Southampton","Mr",NA,NA
"Yes","2","female",32,0,0,13,"Southampton","Mrs",NA,NA
"No","2","male",19,0,0,13,"Southampton","Mr",NA,NA
"Yes","3","female",19,1,0,7.8542,"Southampton","Miss",NA,NA
"Yes","2","male",3,1,1,26,"Southampton","Master","Backbord","F"
"Yes","1","female",44,0,0,27.7208,"Cherbourg","Mrs","Backbord","B"
"Yes","1","female",58,0,0,146.5208,"Cherbourg","Miss","Backbord","B"
"No","3","male",30,0,0,7.75,"Queenstown","Mr",NA,NA
"No","3","male",42,0,1,8.4042,"Southampton","Mr",NA,NA
"Yes","3","female",21,0,0,7.75,"Queenstown","Miss",NA,NA
"No","2","female",24,0,0,13,"Southampton","Miss",NA,NA
"No","3","male",28,0,0,9.5,"Southampton","Mr",NA,NA
"No","3","male",30,8,2,69.55,"Southampton","Mr",NA,NA
"No","3","male",34,0,0,6.4958,"Southampton","Mr",NA,NA
"No","3","male",45.5,0,0,7.225,"Cherbourg","Mr",NA,NA
"Yes","3","male",18,0,0,8.05,"Southampton","Mr",NA,NA
"No","3","female",2,0,1,10.4625,"Southampton","Miss","Backbord","G"
"No","3","male",32,1,0,15.85,"Southampton","Mr",NA,NA
"Yes","3","male",26,0,0,18.7875,"Cherbourg","Mr",NA,NA
"Yes","3","female",16,0,0,7.75,"Queenstown","Miss",NA,NA
"Yes","1","male",40,0,0,31,"Cherbourg","Mr","Steuerbord","A"
"No","3","male",24,0,0,7.05,"Southampton","Mr",NA,NA
"Yes","2","female",35,0,0,21,"Southampton","Miss",NA,NA
"No","3","male",22,0,0,7.25,"Southampton","Mr",NA,NA
"No","2","male",30,0,0,13,"Southampton","Mr",NA,NA
"No","3","male",30,1,0,7.75,"Queenstown","Mr",NA,NA
"Yes","1","female",31,1,0,113.275,"Cherbourg","Miss","Backbord","D"
"Yes","3","female",27,0,0,7.925,"Southampton","Miss",NA,NA
"No","2","male",42,1,0,27,"Southampton","Mr",NA,NA
"Yes","1","female",32,0,0,76.2917,"Cherbourg","Miss","Steuerbord","D"
"No","2","male",30,0,0,10.5,"Southampton","Mr",NA,NA
"Yes","3","male",16,0,0,8.05,"Southampton","Mr",NA,NA
"No","2","male",27,0,0,13,"Southampton","Mr",NA,NA
"No","3","male",51,0,0,8.05,"Southampton","Mr",NA,NA
"No","3","male",30,0,0,7.8958,"Southampton","Mr",NA,NA
"Yes","1","male",38,1,0,90,"Southampton","Mr","Steuerbord","C"
"No","3","male",22,0,0,9.35,"Southampton","Mr",NA,NA
"Yes","2","male",19,0,0,10.5,"Southampton","Mr",NA,NA
"No","3","male",20.5,0,0,7.25,"Southampton","Mr",NA,NA
"No","2","male",18,0,0,13,"Southampton","Mr",NA,NA
"No","3","female",21,3,1,25.4667,"Southampton","Miss",NA,NA
"Yes","1","female",35,1,0,83.475,"Southampton","Mrs","Steuerbord","C"
"No","3","male",29,0,0,7.775,"Southampton","Mr",NA,NA
"No","2","male",59,0,0,13.5,"Southampton","Mr",NA,NA
"Yes","3","female",5,4,2,31.3875,"Southampton","Miss",NA,NA
"No","2","male",24,0,0,10.5,"Southampton","Mr",NA,NA
"No","3","female",21,0,0,7.55,"Southampton","Miss",NA,NA
"No","2","male",44,1,0,26,"Southampton","Mr",NA,NA
"Yes","2","female",8,0,2,26.25,"Southampton","Miss",NA,NA
"No","2","male",19,0,0,10.5,"Southampton","Mr",NA,NA
"No","2","male",33,0,0,12.275,"Southampton","Mr",NA,NA
"No","3","female",21,1,0,14.4542,"Cherbourg","Miss",NA,NA
"Yes","3","female",21,1,0,15.5,"Queenstown","Miss",NA,NA
"No","2","male",29,0,0,10.5,"Southampton","Mr",NA,NA
"No","3","male",22,0,0,7.125,"Southampton","Mr",NA,NA
"No","3","male",30,0,0,7.225,"Cherbourg","Mr",NA,NA
"No","1","male",44,2,0,90,"Queenstown","Dr","Backbord","C"
"No","3","female",25,0,0,7.775,"Southampton","Miss",NA,NA
"Yes","2","female",24,0,2,14.5,"Southampton","Mrs",NA,NA
"Yes","1","male",37,1,1,52.5542,"Southampton","Mr","Steuerbord","D"
"No","2","male",54,1,0,26,"Southampton","Rev",NA,NA
"No","3","male",30,0,0,7.25,"Southampton","Mr",NA,NA
"No","3","female",29,1,1,10.4625,"Southampton","Mrs","Backbord","G"
"No","1","male",62,0,0,26.55,"Southampton","Mr","Steuerbord","C"
"No","3","male",30,1,0,16.1,"Southampton","Mr",NA,NA
"No","3","female",41,0,2,20.2125,"Southampton","Mrs",NA,NA
"Yes","3","female",29,0,2,15.2458,"Cherbourg","Mrs",NA,NA
"Yes","1","female",35,0,0,79.2,"Cherbourg","Mrs",NA,NA
"Yes","1","female",30,0,0,86.5,"Southampton","Miss","Steuerbord","B"
"Yes","1","female",35,0,0,512.3292,"Cherbourg","Miss",NA,NA
"Yes","2","female",50,0,1,26,"Southampton","Mrs",NA,NA
"No","3","male",30,0,0,7.75,"Queenstown","Mr",NA,NA
"Yes","3","male",3,4,2,31.3875,"Southampton","Master",NA,NA
"No","1","male",52,1,1,79.65,"Southampton","Mr","Steuerbord","E"
"No","1","male",40,0,0,0,"Southampton","Mr","Backbord","B"
"No","3","female",21,0,0,7.75,"Queenstown","Miss",NA,NA
"No","2","male",36,0,0,10.5,"Southampton","Mr",NA,NA
"No","3","male",16,4,1,39.6875,"Southampton","Mr",NA,NA
"Yes","3","male",25,1,0,7.775,"Southampton","Mr",NA,NA
"Yes","1","female",58,0,1,153.4625,"Southampton","Mrs","Steuerbord","C"
"Yes","1","female",35,0,0,135.6333,"Southampton","Miss","Steuerbord","C"
"No","1","male",30,0,0,31,"Southampton","Mr",NA,NA
"Yes","3","male",25,0,0,0,"Southampton","Mr",NA,NA
"Yes","2","female",41,0,1,19.5,"Southampton","Mrs",NA,NA
"No","1","male",37,0,1,29.7,"Cherbourg","Mr","Backbord","C"
"Yes","3","female",21,0,0,7.75,"Queenstown","Miss",NA,NA
"Yes","1","female",63,1,0,77.9583,"Southampton","Miss","Steuerbord","D"
"No","3","female",45,0,0,7.75,"Southampton","Miss",NA,NA
"No","2","male",30,0,0,0,"Southampton","Mr",NA,NA
"No","3","male",7,4,1,29.125,"Queenstown","Master",NA,NA
"Yes","3","female",35,1,1,20.25,"Southampton","Mrs",NA,NA
"No","3","male",65,0,0,7.75,"Queenstown","Mr",NA,NA
"No","3","male",28,0,0,7.8542,"Southampton","Mr",NA,NA
"No","3","male",16,0,0,9.5,"Southampton","Mr",NA,NA
"Yes","3","male",19,0,0,8.05,"Southampton","Mr",NA,NA
"No","1","male",30,0,0,26,"Southampton","Mr","Steuerbord","A"
"No","3","male",33,0,0,8.6625,"Cherbourg","Mr",NA,NA
"Yes","3","male",30,0,0,9.5,"Southampton","Mr",NA,NA
"No","3","male",22,0,0,7.8958,"Southampton","Mr",NA,NA
"Yes","2","male",42,0,0,13,"Southampton","Mr",NA,NA
"Yes","3","female",22,0,0,7.75,"Queenstown","Miss",NA,NA
"Yes","1","female",26,0,0,78.85,"Southampton","Miss",NA,NA
"Yes","1","female",19,1,0,91.0792,"Cherbourg","Mrs","Steuerbord","B"
"No","2","male",36,0,0,12.875,"Cherbourg","Mr",NA,"D"
"No","3","female",24,0,0,8.85,"Southampton","Miss",NA,NA
"No","3","male",24,0,0,7.8958,"Southampton","Mr",NA,NA
"No","1","male",30,0,0,27.7208,"Cherbourg","Mr",NA,NA
"No","3","male",23.5,0,0,7.2292,"Cherbourg","Mr",NA,NA
"No","1","female",2,1,2,151.55,"Southampton","Miss","Backbord","C"
"Yes","1","male",30,0,0,30.5,"Southampton","Mr","Backbord","C"
"Yes","1","female",50,0,1,247.5208,"Cherbourg","Mrs","Backbord","B"
"Yes","3","female",21,0,0,7.75,"Queenstown","Miss",NA,NA
"Yes","3","male",30,2,0,23.25,"Queenstown","Mr",NA,NA
"No","3","male",19,0,0,0,"Southampton","Mr",NA,NA
"Yes","2","female",21,0,0,12.35,"Queenstown","Miss","Steuerbord","E"
"No","3","male",30,0,0,8.05,"Southampton","Mr",NA,NA
"Yes","1","male",0.92,1,2,151.55,"Southampton","Master","Backbord","C"
"Yes","1","female",21,0,0,110.8833,"Cherbourg","Miss",NA,NA
"Yes","1","female",17,1,0,108.9,"Cherbourg","Mrs","Steuerbord","C"
"No","2","male",30,1,0,24,"Cherbourg","Mr",NA,NA
"Yes","1","female",30,0,0,56.9292,"Cherbourg","Miss","Backbord","E"
"Yes","1","female",24,0,0,83.1583,"Cherbourg","Miss","Backbord","C"
"Yes","1","female",18,2,2,262.375,"Cherbourg","Miss","Backbord","B"
"No","2","female",26,1,1,26,"Southampton","Mrs",NA,NA
"No","3","male",28,0,0,7.8958,"Southampton","Mr",NA,NA
"No","2","male",43,1,1,26.25,"Southampton","Mr",NA,NA
"Yes","3","female",26,0,0,7.8542,"Southampton","Miss",NA,NA
"Yes","2","female",24,1,0,26,"Southampton","Mrs",NA,NA
"No","2","male",54,0,0,14,"Southampton","Dr",NA,NA
"Yes","1","female",31,0,2,164.8667,"Southampton","Miss","Steuerbord","C"
"Yes","1","female",40,1,1,134.5,"Cherbourg","Mrs","Backbord","E"
"No","3","male",22,0,0,7.25,"Southampton","Mr",NA,NA
"No","3","male",27,0,0,7.8958,"Southampton","Mr",NA,NA
"Yes","2","female",30,0,0,12.35,"Queenstown","Miss",NA,NA
"Yes","2","female",22,1,1,29,"Southampton","Mrs",NA,NA
"No","3","male",30,8,2,69.55,"Southampton","Mr",NA,NA
"Yes","1","female",36,0,0,135.6333,"Cherbourg","Miss","Backbord","C"
"No","3","male",61,0,0,6.2375,"Southampton","Mr",NA,NA
"Yes","2","female",36,0,0,13,"Southampton","Mrs",NA,"D"
"Yes","3","female",31,1,1,20.525,"Southampton","Mrs",NA,NA
"Yes","1","female",16,0,1,57.9792,"Cherbourg","Miss","Backbord","B"
"Yes","3","female",21,2,0,23.25,"Queenstown","Miss",NA,NA
"No","1","male",45.5,0,0,28.5,"Southampton","Mr","Backbord","C"
"No","1","male",38,0,1,153.4625,"Southampton","Mr","Steuerbord","C"
"No","3","male",16,2,0,18,"Southampton","Mr",NA,NA
"Yes","1","female",35,1,0,133.65,"Southampton","Mrs",NA,NA
"No","3","male",30,0,0,7.8958,"Southampton","Mr",NA,NA
"No","1","male",29,1,0,66.6,"Southampton","Mr","Backbord","C"
"Yes","1","female",41,0,0,134.5,"Cherbourg","Miss","Backbord","E"
"Yes","3","male",45,0,0,8.05,"Southampton","Mr",NA,NA
"No","1","male",45,0,0,35.5,"Southampton","Mr",NA,"T"
"Yes","2","male",2,1,1,26,"Southampton","Master","Backbord","F"
"Yes","1","female",24,3,2,263,"Southampton","Miss","Steuerbord","C"
"No","2","male",28,0,0,13,"Southampton","Mr",NA,NA
"No","2","male",25,0,0,13,"Southampton","Mr",NA,NA
"No","2","male",36,0,0,13,"Southampton","Mr",NA,NA
"Yes","2","female",24,0,0,13,"Southampton","Miss","Steuerbord","F"
"Yes","2","female",40,0,0,13,"Southampton","Miss",NA,NA
"Yes","3","female",35,1,0,16.1,"Southampton","Mrs",NA,NA
"Yes","3","male",3,1,1,15.9,"Southampton","Master",NA,NA
"No","3","male",42,0,0,8.6625,"Southampton","Mr",NA,NA
"No","3","male",23,0,0,9.225,"Southampton","Mr",NA,NA
"No","1","male",30,0,0,35,"Southampton","Mr","Backbord","C"
"No","3","male",15,1,1,7.2292,"Cherbourg","Mr",NA,NA
"No","3","male",25,1,0,17.8,"Southampton","Mr",NA,NA
"No","3","male",30,0,0,7.225,"Cherbourg","Mr",NA,NA
"No","3","male",28,0,0,9.5,"Southampton","Mr",NA,NA
"Yes","1","female",22,0,1,55,"Southampton","Miss","Steuerbord","E"
"No","2","female",38,0,0,13,"Southampton","Miss",NA,NA
"Yes","3","female",21,0,0,7.8792,"Queenstown","Miss",NA,NA
"Yes","3","female",21,0,0,7.8792,"Queenstown","Miss",NA,NA
"No","3","male",40,1,4,27.9,"Southampton","Mr",NA,NA
"No","2","male",29,1,0,27.7208,"Cherbourg","Mr",NA,NA
"No","3","female",45,0,1,14.4542,"Cherbourg","Mrs",NA,NA
"No","3","male",35,0,0,7.05,"Southampton","Mr",NA,NA
"No","3","male",30,1,0,15.5,"Queenstown","Mr",NA,NA
"No","3","male",30,0,0,7.25,"Southampton","Mr",NA,NA
"Yes","1","female",60,1,0,75.25,"Cherbourg","Mrs","Steuerbord","D"
"Yes","3","female",35,0,0,7.2292,"Cherbourg","Mrs",NA,NA
"Yes","3","female",21,0,0,7.75,"Queenstown","Miss",NA,NA
"Yes","1","female",24,0,0,69.3,"Cherbourg","Mme","Steuerbord","B"
"Yes","1","male",25,1,0,55.4417,"Cherbourg","Mr","Backbord","E"
"No","3","male",18,1,0,6.4958,"Southampton","Mr",NA,NA
"No","3","male",19,0,0,8.05,"Southampton","Mr",NA,NA
"No","1","male",22,0,0,135.6333,"Cherbourg","Mr",NA,NA
"No","3","female",3,3,1,21.075,"Southampton","Miss",NA,NA
"Yes","1","female",35,1,0,82.1708,"Cherbourg","Mrs",NA,NA
"Yes","3","female",22,0,0,7.25,"Southampton","Miss",NA,NA
"No","1","male",27,0,2,211.5,"Cherbourg","Mr","Backbord","C"
"No","3","male",20,0,0,4.0125,"Cherbourg","Mr",NA,NA
"No","3","male",19,0,0,7.775,"Southampton","Mr",NA,NA
"Yes","1","female",42,0,0,227.525,"Cherbourg","Miss",NA,NA
"Yes","3","female",1,0,2,15.7417,"Cherbourg","Miss",NA,NA
"No","3","male",32,0,0,7.925,"Southampton","Mr",NA,NA
"Yes","1","female",35,1,0,52,"Southampton","Mrs",NA,NA
"No","3","male",30,0,0,7.8958,"Southampton","Mr",NA,NA
"No","2","male",18,0,0,73.5,"Southampton","Mr",NA,NA
"No","3","male",1,5,2,46.9,"Southampton","Master",NA,NA
"Yes","2","female",36,0,0,13,"Southampton","Miss",NA,NA
"No","3","male",30,0,0,7.7292,"Queenstown","Mr",NA,NA
"Yes","2","female",17,0,0,12,"Cherbourg","Miss",NA,NA
"Yes","1","male",36,1,2,120,"Southampton","Mr","Backbord","B"
"Yes","3","male",21,0,0,7.7958,"Southampton","Mr",NA,NA
"No","3","male",28,2,0,7.925,"Southampton","Mr",NA,NA
"Yes","1","female",23,1,0,113.275,"Cherbourg","Miss","Backbord","D"
"Yes","3","female",24,0,2,16.7,"Southampton","Mrs","Backbord","G"
"No","3","male",22,0,0,7.7958,"Southampton","Mr",NA,NA
